SubscriptionId,ProductOrderId
233438770464561083321349930346675060131,0
233438770464561083321349930346675060131,0
248571696068901863519964206278319058533,0
177984805130219531596673238255739689743,0
296303027208135878142317302479858261801,174324767409293244356901593976509127200
110139760086538303254733605427770902867,0
337195657938003916703896818921469030723,0
104833230720392655094353968764331476812,0
212486531413905234627460677477614899194,0
226266223109788970657514690116001968638,0
148925697815364450022292200737840973127,0
253336969639652189236520480693309939636,0
67818648114451529530979737912913780455,0
205333991776171958426037146802681665845,0
233438770464561083321349930346675060131,0
227912044685131729262461577859473654520,0
320710018109284179601969654971419137265,0
248571696068901863519964206278319058533,276451649247579191970219693894741209285
104833230720392655094353968764331476812,0
252739483972019548744453912712262107673,59381664795182064546759682663652631782
204103940079391226718573161234255364229,0
46962452195010742832309270405091854339,35498612336331687335402755840266778664
96683789889579158769218609215018578739,0
38374828645357489334304826668918199532,0
253336969639652189236520480693309939636,84954778383328408439611203839032917995
74553114802210034503934395623336050652,0
241557151958532021472815462342257753652,0
253336969639652189236520480693309939636,84954778383328408439611203839032917995
261223022138190184809213344856993291595,0
114361443158390017777797712399370746596,0
234435333454007578128102114914608287389,0
233438770464561083321349930346675060131,67539329362841951449680288242498084329
248571696068901863519964206278319058533,0
248571696068901863519964206278319058533,0
248571696068901863519964206278319058533,0
227912044685131729262461577859473654520,0
261223022138190184809213344856993291595,0
241651999496400218915920631726358036637,0
229823973778071683001530500787097976788,0
248571696068901863519964206278319058533,109676032041256756543633277656386930831
46962452195010742832309270405091854339,0
233438770464561083321349930346675060131,0
248571696068901863519964206278319058533,101595601105130950578767403667388417932
67818648114451529530979737912913780455,265738181434998059145941338623011346063
46962452195010742832309270405091854339,0
253336969639652189236520480693309939636,0
204103940079391226718573161234255364229,0
6246453358357729274398471924022762491,0
253336969639652189236520480693309939636,269766168640527987939670809817324963821
248571696068901863519964206278319058533,0
233438770464561083321349930346675060131,0
46962452195010742832309270405091854339,248626017944332807378465359647338833745
251311591530038188841973348714454214927,0
248571696068901863519964206278319058533,11370988977362300878690140934125534957
248571696068901863519964206278319058533,258541666096943760914668085059351974226
253336969639652189236520480693309939636,0
333563381769023474472678299485646723232,0
117425538554503354802476958751170633573,0
